property_id,property_name,property_type,city,state,listed_date,price,area_sqft,bedrooms,bathrooms,agent_id
P172,Sunshine Farm Estate,Farmhouse,Perambalur,TN,5/15/2019,8438742,2959,4,3,A072
P173,Skyline Residency,Apartment,Bangalore,KA,5/16/2019,4526119,2293,3,2,A073
P174,Royal Palm Villas,Villa,Coimbatore,TN,5/17/2019,6962954,2402,3,2,A074
P175,Corporate Square,Commercial,Kochi,KL,5/18/2019,6729887,1331,3,2,A075
P176,Sunrise Layout,Plot,Hosur,TN,5/19/2019,7664414,1467,2,2,A076
P177,Sunshine Farm Estate,Farmhouse,Trichy,TN,5/20/2019,6255540,4716,4,3,A077
P178,Skyline Residency,Apartment,Chennai,TN,5/21/2019,5974273,1774,2,2,A078
P179,Royal Palm Villas,Villa,Perambalur,TN,5/22/2019,6928882,2452,3,2,A079
P180,Corporate Square,Commercial,Bangalore,KA,5/23/2019,5590218,3277,3,2,A080
P181,Sunrise Layout,Plot,Coimbatore,TN,5/24/2019,5708921,2789,3,2,A081
P182,Sunshine Farm Estate,Farmhouse,Kochi,KL,5/25/2019,6142706,2918,3,3,A082
P183,Skyline Residency,Apartment,Hosur,TN,5/26/2019,8162267,2272,2,2,A083
P184,Royal Palm Villas,Villa,Trichy,TN,5/27/2019,6847336,4399,4,2,A084
P185,Corporate Square,Commercial,Chennai,TN,5/28/2019,8340827,3673,4,2,A085
P186,Sunrise Layout,Plot,Perambalur,TN,5/29/2019,9017333,2843,2,2,A086
P187,Sunshine Farm Estate,Farmhouse,Bangalore,KA,5/30/2019,9136642,5275,3,3,A087
P188,Skyline Residency,Apartment,Coimbatore,TN,5/31/2019,7643897,2101,3,2,A088
P189,Royal Palm Villas,Villa,Kochi,KL,6/1/2019,8628225,4868,4,2,A089
P190,Corporate Square,Commercial,Hosur,TN,6/2/2019,8448864,2838,4,2,A090
P191,Sunrise Layout,Plot,Trichy,TN,6/3/2019,7557975,2046,2,2,A091
P192,Sunshine Farm Estate,Farmhouse,Chennai,TN,6/4/2019,8245185,4942,3,3,A092
P193,Skyline Residency,Apartment,Perambalur,TN,6/5/2019,5297980,2330,3,2,A093
P194,Royal Palm Villas,Villa,Bangalore,KA,6/6/2019,5012768,2386,4,2,A094
P195,Corporate Square,Commercial,Coimbatore,TN,6/7/2019,5803151,1981,4,2,A095
P196,Sunrise Layout,Plot,Kochi,KL,6/8/2019,4532956,1711,2,2,A096
P197,Sunshine Farm Estate,Farmhouse,Hosur,TN,6/9/2019,5822882,2563,4,3,A097
P198,Skyline Residency,Apartment,Trichy,TN,6/10/2019,8535451,2017,3,2,A098
P199,Royal Palm Villas,Villa,Chennai,TN,6/11/2019,4767964,2139,4,2,A099
P200,Corporate Square,Commercial,Perambalur,TN,6/12/2019,8528506,4996,4,2,A100
P201,Sunrise Layout,Plot,Bangalore,KA,6/13/2019,5580968,1872,3,2,A101
P202,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,6/14/2019,5593036,4902,4,3,A102
P203,Skyline Residency,Apartment,Kochi,KL,6/15/2019,5071746,2275,2,2,A103
P204,Royal Palm Villas,Villa,Hosur,TN,6/16/2019,6544253,2596,4,2,A104
P205,Corporate Square,Commercial,Trichy,TN,6/17/2019,5458670,2207,4,2,A105
P206,Sunrise Layout,Plot,Chennai,TN,6/18/2019,9370932,2219,2,2,A106
P207,Sunshine Farm Estate,Farmhouse,Perambalur,TN,6/19/2019,4886471,5917,4,3,A107
P208,Skyline Residency,Apartment,Bangalore,KA,6/20/2019,8751183,2012,3,2,A108
P209,Royal Palm Villas,Villa,Coimbatore,TN,6/21/2019,8834453,4362,4,2,A109
P210,Corporate Square,Commercial,Kochi,KL,6/22/2019,8566650,3875,3,2,A110
P211,Sunrise Layout,Plot,Hosur,TN,6/23/2019,7774169,2459,3,2,A111
P212,Sunshine Farm Estate,Farmhouse,Trichy,TN,6/24/2019,7634083,4397,3,3,A112
P213,Skyline Residency,Apartment,Chennai,TN,6/25/2019,6720841,2041,2,2,A113
P214,Royal Palm Villas,Villa,Perambalur,TN,6/26/2019,4701705,3131,3,2,A114
P215,Corporate Square,Commercial,Bangalore,KA,6/27/2019,6758993,2079,3,2,A115
P216,Sunrise Layout,Plot,Coimbatore,TN,6/28/2019,5985040,2543,3,2,A116
P217,Sunshine Farm Estate,Farmhouse,Kochi,KL,6/29/2019,4547272,4497,3,3,A117
P218,Skyline Residency,Apartment,Hosur,TN,6/30/2019,6108085,1560,2,2,A118
P219,Royal Palm Villas,Villa,Trichy,TN,7/1/2019,9094648,2593,3,2,A119
P220,Corporate Square,Commercial,Chennai,TN,7/2/2019,8737674,2450,3,2,A120
P221,Sunrise Layout,Plot,Perambalur,TN,7/3/2019,8613369,1370,2,2,A121
P222,Sunshine Farm Estate,Farmhouse,Bangalore,KA,7/4/2019,6062857,4614,3,3,A122
P223,Skyline Residency,Apartment,Coimbatore,TN,7/5/2019,8224634,1699,2,2,A123
P224,Royal Palm Villas,Villa,Kochi,KL,7/6/2019,6660189,3169,4,2,A124
P225,Corporate Square,Commercial,Hosur,TN,7/7/2019,6754302,1524,4,2,A125
P226,Sunrise Layout,Plot,Trichy,TN,7/8/2019,6626219,1239,3,2,A126
P227,Sunshine Farm Estate,Farmhouse,Chennai,TN,7/9/2019,5268984,5206,3,3,A127
P228,Skyline Residency,Apartment,Perambalur,TN,7/10/2019,7257193,2476,3,2,A128
P229,Royal Palm Villas,Villa,Bangalore,KA,7/11/2019,8156815,3625,4,2,A129
P230,Corporate Square,Commercial,Coimbatore,TN,7/12/2019,8845841,4454,3,2,A130
P231,Sunrise Layout,Plot,Kochi,KL,7/13/2019,6421730,1060,3,2,A131
P232,Sunshine Farm Estate,Farmhouse,Hosur,TN,7/14/2019,6202659,3068,4,3,A132
P233,Skyline Residency,Apartment,Trichy,TN,7/15/2019,8186351,2296,3,2,A133
P234,Royal Palm Villas,Villa,Chennai,TN,7/16/2019,6774844,2282,3,2,A134
P235,Corporate Square,Commercial,Perambalur,TN,7/17/2019,7717655,2103,4,2,A135
P236,Sunrise Layout,Plot,Bangalore,KA,7/18/2019,6166702,2933,3,2,A136
P237,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,7/19/2019,5723893,5796,3,3,A137
P238,Skyline Residency,Apartment,Kochi,KL,7/20/2019,9035652,2122,2,2,A138
P239,Royal Palm Villas,Villa,Hosur,TN,7/21/2019,4768188,3363,4,2,A139
P240,Corporate Square,Commercial,Trichy,TN,7/22/2019,5126684,3211,3,2,A140
P241,Sunrise Layout,Plot,Chennai,TN,7/23/2019,6420365,2809,3,2,A141
P242,Sunshine Farm Estate,Farmhouse,Perambalur,TN,7/24/2019,6282533,2787,4,3,A142
P243,Skyline Residency,Apartment,Bangalore,KA,7/25/2019,8496564,1519,2,2,A143
P244,Royal Palm Villas,Villa,Coimbatore,TN,7/26/2019,4768930,3561,3,2,A144
P245,Corporate Square,Commercial,Kochi,KL,7/27/2019,9227522,2311,3,2,A145
P246,Sunrise Layout,Plot,Hosur,TN,7/28/2019,5719966,1860,3,2,A146
P247,Sunshine Farm Estate,Farmhouse,Trichy,TN,7/29/2019,7492454,4032,3,3,A147
P248,Skyline Residency,Apartment,Chennai,TN,7/30/2019,4873311,1545,2,2,A148
P249,Royal Palm Villas,Villa,Perambalur,TN,7/31/2019,4690782,2554,3,2,A149
P250,Corporate Square,Commercial,Bangalore,KA,8/1/2019,5909052,1218,3,2,A150
P251,Sunrise Layout,Plot,Coimbatore,TN,8/2/2019,7823400,1187,2,2,A151
P252,Sunshine Farm Estate,Farmhouse,Kochi,KL,8/3/2019,5642335,4179,3,3,A152
P253,Skyline Residency,Apartment,Hosur,TN,8/4/2019,7701921,1565,3,2,A153
P254,Royal Palm Villas,Villa,Trichy,TN,8/5/2019,8735756,4480,3,2,A154
P255,Corporate Square,Commercial,Chennai,TN,8/6/2019,7686338,2918,3,2,A155
P256,Sunrise Layout,Plot,Perambalur,TN,8/7/2019,4819969,1930,2,2,A156
P257,Sunshine Farm Estate,Farmhouse,Bangalore,KA,8/8/2019,7757154,3987,4,3,A157
P258,Skyline Residency,Apartment,Coimbatore,TN,8/9/2019,8967636,2185,3,2,A158
P259,Royal Palm Villas,Villa,Kochi,KL,8/10/2019,8079240,4384,3,2,A159
P260,Corporate Square,Commercial,Hosur,TN,8/11/2019,9011670,1547,3,2,A160
P261,Sunrise Layout,Plot,Trichy,TN,8/12/2019,7750228,2761,2,2,A161
P262,Sunshine Farm Estate,Farmhouse,Chennai,TN,8/13/2019,7654909,5484,4,3,A162
P263,Skyline Residency,Apartment,Perambalur,TN,8/14/2019,7486790,2212,2,2,A163
P264,Royal Palm Villas,Villa,Bangalore,KA,8/15/2019,5009147,3074,3,2,A164
P265,Corporate Square,Commercial,Coimbatore,TN,8/16/2019,8489341,2827,4,2,A165
P266,Sunrise Layout,Plot,Kochi,KL,8/17/2019,7354970,2674,2,2,A166
P267,Sunshine Farm Estate,Farmhouse,Hosur,TN,8/18/2019,6249532,4726,4,3,A167
P268,Skyline Residency,Apartment,Trichy,TN,8/19/2019,4964029,2113,3,2,A168
P269,Royal Palm Villas,Villa,Chennai,TN,8/20/2019,8204844,3243,3,2,A169
P270,Corporate Square,Commercial,Perambalur,TN,8/21/2019,7065068,1060,4,2,A170
P271,Sunrise Layout,Plot,Bangalore,KA,8/22/2019,4619166,1039,3,2,A171
P272,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,8/23/2019,6069204,2500,3,3,A172
P273,Skyline Residency,Apartment,Kochi,KL,8/24/2019,6362468,2366,2,2,A173
P274,Royal Palm Villas,Villa,Hosur,TN,8/25/2019,9249563,4037,3,2,A174
P275,Corporate Square,Commercial,Trichy,TN,8/26/2019,5914136,3212,3,2,A175
P276,Sunrise Layout,Plot,Chennai,TN,8/27/2019,4780807,1617,3,2,A176
P277,Sunshine Farm Estate,Farmhouse,Perambalur,TN,8/28/2019,6807622,5857,3,3,A177
P278,Skyline Residency,Apartment,Bangalore,KA,8/29/2019,6166438,1687,3,2,A178
P279,Royal Palm Villas,Villa,Coimbatore,TN,8/30/2019,6524151,2049,4,2,A179
P280,Corporate Square,Commercial,Kochi,KL,8/31/2019,6506681,1344,3,2,A180
P281,Sunrise Layout,Plot,Hosur,TN,9/1/2019,7777243,2274,3,2,A181
P282,Sunshine Farm Estate,Farmhouse,Trichy,TN,9/2/2019,4863442,4839,3,3,A182
P283,Skyline Residency,Apartment,Chennai,TN,9/3/2019,8399019,1530,2,2,A183
P284,Royal Palm Villas,Villa,Perambalur,TN,9/4/2019,8452662,2141,3,2,A184
P285,Corporate Square,Commercial,Bangalore,KA,9/5/2019,8888064,1785,3,2,A185
P286,Sunrise Layout,Plot,Coimbatore,TN,9/6/2019,6094320,2002,3,2,A186
P287,Sunshine Farm Estate,Farmhouse,Kochi,KL,9/7/2019,7989037,3675,4,3,A187
P288,Skyline Residency,Apartment,Hosur,TN,9/8/2019,6086177,2430,3,2,A188
P289,Royal Palm Villas,Villa,Trichy,TN,9/9/2019,7592369,2715,4,2,A189
P290,Corporate Square,Commercial,Chennai,TN,9/10/2019,6600416,3030,3,2,A190
P291,Sunrise Layout,Plot,Perambalur,TN,9/11/2019,6146702,2596,2,2,A191
P292,Sunshine Farm Estate,Farmhouse,Bangalore,KA,9/12/2019,6891398,5204,4,3,A192
P293,Skyline Residency,Apartment,Coimbatore,TN,9/13/2019,9036296,2034,2,2,A193
P294,Royal Palm Villas,Villa,Kochi,KL,9/14/2019,6717126,3790,4,2,A194
P295,Corporate Square,Commercial,Hosur,TN,9/15/2019,6985389,4218,3,2,A195
P296,Sunrise Layout,Plot,Trichy,TN,9/16/2019,6774692,2292,2,2,A196
P297,Sunshine Farm Estate,Farmhouse,Chennai,TN,9/17/2019,5630320,5887,3,3,A197
P298,Skyline Residency,Apartment,Perambalur,TN,9/18/2019,8684462,2457,3,2,A198
P299,Royal Palm Villas,Villa,Bangalore,KA,9/19/2019,6179217,3142,3,2,A199
P300,Corporate Square,Commercial,Coimbatore,TN,9/20/2019,4515215,4118,4,2,A200
P301,Sunrise Layout,Plot,Kochi,KL,9/21/2019,7165573,2412,3,2,A201
P302,Sunshine Farm Estate,Farmhouse,Hosur,TN,9/22/2019,4837902,3895,3,3,A202
P303,Skyline Residency,Apartment,Trichy,TN,9/23/2019,8070573,2173,2,2,A203
P304,Royal Palm Villas,Villa,Chennai,TN,9/24/2019,5861661,4647,3,2,A204
P305,Corporate Square,Commercial,Perambalur,TN,9/25/2019,6771902,2029,4,2,A205
P306,Sunrise Layout,Plot,Bangalore,KA,9/26/2019,6611821,1425,3,2,A206
P307,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,9/27/2019,8392185,3103,3,3,A207
P308,Skyline Residency,Apartment,Kochi,KL,9/28/2019,9051671,2138,2,2,A208
P309,Royal Palm Villas,Villa,Hosur,TN,9/29/2019,6757488,4118,3,2,A209
P310,Corporate Square,Commercial,Trichy,TN,9/30/2019,7181786,3881,4,2,A210
P311,Sunrise Layout,Plot,Chennai,TN,10/1/2019,9210745,1842,2,2,A211
P312,Sunshine Farm Estate,Farmhouse,Perambalur,TN,10/2/2019,9423748,4807,3,3,A212
P313,Skyline Residency,Apartment,Bangalore,KA,10/3/2019,8944064,2227,3,2,A213
P314,Royal Palm Villas,Villa,Coimbatore,TN,10/4/2019,7039252,4058,3,2,A214
P315,Corporate Square,Commercial,Kochi,KL,10/5/2019,7789545,2128,4,2,A215
P316,Sunrise Layout,Plot,Hosur,TN,10/6/2019,5998912,2298,3,2,A216
P317,Sunshine Farm Estate,Farmhouse,Trichy,TN,10/7/2019,8267570,3181,4,3,A217
P318,Skyline Residency,Apartment,Chennai,TN,10/8/2019,5758195,2145,3,2,A218
P319,Royal Palm Villas,Villa,Perambalur,TN,10/9/2019,8378457,3509,4,2,A219
P320,Corporate Square,Commercial,Bangalore,KA,10/10/2019,8926188,2119,4,2,A220
P321,Sunrise Layout,Plot,Coimbatore,TN,10/11/2019,6022321,2983,2,2,A221
P322,Sunshine Farm Estate,Farmhouse,Kochi,KL,10/12/2019,9379862,2870,3,3,A222
P323,Skyline Residency,Apartment,Hosur,TN,10/13/2019,7455590,2028,2,2,A223
P324,Royal Palm Villas,Villa,Trichy,TN,10/14/2019,4603354,3233,3,2,A224
P325,Corporate Square,Commercial,Chennai,TN,10/15/2019,9279936,3489,3,2,A225
P326,Sunrise Layout,Plot,Perambalur,TN,10/16/2019,4875159,1854,2,2,A226
P327,Sunshine Farm Estate,Farmhouse,Bangalore,KA,10/17/2019,7239304,3809,4,3,A227
P328,Skyline Residency,Apartment,Coimbatore,TN,10/18/2019,9356882,1523,3,2,A228
P329,Royal Palm Villas,Villa,Kochi,KL,10/19/2019,7782166,2780,4,2,A229
P330,Corporate Square,Commercial,Hosur,TN,10/20/2019,9252919,3409,3,2,A230
P331,Sunrise Layout,Plot,Trichy,TN,10/21/2019,5384117,1216,3,2,A231
P332,Sunshine Farm Estate,Farmhouse,Chennai,TN,10/22/2019,5709729,2550,3,3,A232
P333,Skyline Residency,Apartment,Perambalur,TN,10/23/2019,4751350,2024,3,2,A233
P334,Royal Palm Villas,Villa,Bangalore,KA,10/24/2019,7679261,2426,3,2,A234
P335,Corporate Square,Commercial,Coimbatore,TN,10/25/2019,8361169,1849,3,2,A235
P336,Sunrise Layout,Plot,Kochi,KL,10/26/2019,6922048,2194,3,2,A236
P337,Sunshine Farm Estate,Farmhouse,Hosur,TN,10/27/2019,7942123,2876,4,3,A237
P338,Skyline Residency,Apartment,Trichy,TN,10/28/2019,6613770,1599,2,2,A238
P339,Royal Palm Villas,Villa,Chennai,TN,10/29/2019,9377875,2281,3,2,A239
P340,Corporate Square,Commercial,Perambalur,TN,10/30/2019,8169258,2964,3,2,A240
P341,Sunrise Layout,Plot,Bangalore,KA,10/31/2019,9402161,2416,2,2,A241
P342,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,11/1/2019,4501388,2598,3,3,A242
P343,Skyline Residency,Apartment,Kochi,KL,11/2/2019,9446568,1928,2,2,A243
P344,Royal Palm Villas,Villa,Hosur,TN,11/3/2019,6797416,4801,3,2,A244
P345,Corporate Square,Commercial,Trichy,TN,11/4/2019,5961940,1668,3,2,A245
P346,Sunrise Layout,Plot,Chennai,TN,11/5/2019,7272685,1771,3,2,A246
P347,Sunshine Farm Estate,Farmhouse,Perambalur,TN,11/6/2019,8685723,4592,3,3,A247
P348,Skyline Residency,Apartment,Bangalore,KA,11/7/2019,7115420,1783,2,2,A248
P349,Royal Palm Villas,Villa,Coimbatore,TN,11/8/2019,6160885,3468,3,2,A249
P350,Corporate Square,Commercial,Kochi,KL,11/9/2019,9476239,1388,3,2,A250
P351,Sunrise Layout,Plot,Hosur,TN,11/10/2019,4688759,1590,2,2,A251
P352,Sunshine Farm Estate,Farmhouse,Trichy,TN,11/11/2019,8027136,4436,3,3,A252
P353,Skyline Residency,Apartment,Chennai,TN,11/12/2019,6425578,1973,3,2,A253
P354,Royal Palm Villas,Villa,Perambalur,TN,11/13/2019,4758408,2948,4,2,A254
P355,Corporate Square,Commercial,Bangalore,KA,11/14/2019,7921558,2909,3,2,A255
P356,Sunrise Layout,Plot,Coimbatore,TN,11/15/2019,8332581,2134,2,2,A256
P357,Sunshine Farm Estate,Farmhouse,Kochi,KL,11/16/2019,4990255,5900,3,3,A257
P358,Skyline Residency,Apartment,Hosur,TN,11/17/2019,6133409,1795,2,2,A258
P359,Royal Palm Villas,Villa,Trichy,TN,11/18/2019,5137256,2298,3,2,A259
P360,Corporate Square,Commercial,Chennai,TN,11/19/2019,8798967,3665,3,2,A260
P361,Sunrise Layout,Plot,Perambalur,TN,11/20/2019,7263579,1305,2,2,A261
P362,Sunshine Farm Estate,Farmhouse,Bangalore,KA,11/21/2019,5671516,5088,3,3,A262
P363,Skyline Residency,Apartment,Coimbatore,TN,11/22/2019,6532676,2419,3,2,A263
P364,Royal Palm Villas,Villa,Kochi,KL,11/23/2019,4564370,4167,4,2,A264
P365,Corporate Square,Commercial,Hosur,TN,11/24/2019,6347546,2167,3,2,A265
P366,Sunrise Layout,Plot,Trichy,TN,11/25/2019,6899784,2054,3,2,A266
P367,Sunshine Farm Estate,Farmhouse,Chennai,TN,11/26/2019,5417049,3205,4,3,A267
P368,Skyline Residency,Apartment,Perambalur,TN,11/27/2019,5533375,2080,3,2,A268
P369,Royal Palm Villas,Villa,Bangalore,KA,11/28/2019,9002890,2305,3,2,A269
P370,Corporate Square,Commercial,Coimbatore,TN,11/29/2019,8096741,3897,4,2,A270
P371,Sunrise Layout,Plot,Kochi,KL,11/30/2019,8891790,2931,3,2,A271
P372,Sunshine Farm Estate,Farmhouse,Hosur,TN,12/1/2019,7501518,4395,3,3,A272
P373,Skyline Residency,Apartment,Trichy,TN,12/2/2019,8940984,2450,2,2,A273
P374,Royal Palm Villas,Villa,Chennai,TN,12/3/2019,4963506,2947,4,2,A274
P375,Corporate Square,Commercial,Perambalur,TN,12/4/2019,6313978,1016,4,2,A275
P376,Sunrise Layout,Plot,Bangalore,KA,12/5/2019,5045659,1847,2,2,A276
P377,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,12/6/2019,5672583,2844,4,3,A277
P378,Skyline Residency,Apartment,Kochi,KL,12/7/2019,9220000,2005,3,2,A278
P379,Royal Palm Villas,Villa,Hosur,TN,12/8/2019,6766639,4041,3,2,A279
P380,Corporate Square,Commercial,Trichy,TN,12/9/2019,9440190,4231,4,2,A280
P381,Sunrise Layout,Plot,Chennai,TN,12/10/2019,6162660,2911,2,2,A281
P382,Sunshine Farm Estate,Farmhouse,Perambalur,TN,12/11/2019,4618634,5903,3,3,A282
P383,Skyline Residency,Apartment,Bangalore,KA,12/12/2019,6841522,1954,3,2,A283
P384,Royal Palm Villas,Villa,Coimbatore,TN,12/13/2019,7502815,3613,4,2,A284
P385,Corporate Square,Commercial,Kochi,KL,12/14/2019,8970200,3297,3,2,A285
P386,Sunrise Layout,Plot,Hosur,TN,12/15/2019,7612856,2746,2,2,A286
P387,Sunshine Farm Estate,Farmhouse,Trichy,TN,12/16/2019,5286357,5515,4,3,A287
P388,Skyline Residency,Apartment,Chennai,TN,12/17/2019,7812541,1582,2,2,A288
P389,Royal Palm Villas,Villa,Perambalur,TN,12/18/2019,6696413,3432,3,2,A289
P390,Corporate Square,Commercial,Bangalore,KA,12/19/2019,6613908,1034,4,2,A290
P391,Sunrise Layout,Plot,Coimbatore,TN,12/20/2019,8695728,1599,3,2,A291
P392,Sunshine Farm Estate,Farmhouse,Kochi,KL,12/21/2019,6126550,4326,4,3,A292
P393,Skyline Residency,Apartment,Hosur,TN,12/22/2019,8597313,1631,3,2,A293
P394,Royal Palm Villas,Villa,Trichy,TN,12/23/2019,6648319,2430,4,2,A294
P395,Corporate Square,Commercial,Chennai,TN,12/24/2019,5431355,1892,4,2,A295
P396,Sunrise Layout,Plot,Perambalur,TN,12/25/2019,6837298,1294,2,2,A296
